iter	Accuracy	MultiClass
879	0.9730452455	0.3195009846
880	0.973580062	0.3191744048
881	0.9736870254	0.318880735
882	0.9736870254	0.3186920561
883	0.9737939887	0.318526359
884	0.973580062	0.3183108536
885	0.9733661354	0.3182549643
886	0.9733661354	0.3180726741
887	0.9737939887	0.3177645244
888	0.9740079153	0.3175575593
889	0.9742218419	0.3171875594
890	0.9740079153	0.3169455804
891	0.9740079153	0.3168145722
892	0.9740079153	0.3164180364
893	0.9742218419	0.3162475049
894	0.9742218419	0.3161051342
895	0.9742218419	0.3159547408
896	0.9742218419	0.315846153
897	0.9742218419	0.3156600893
898	0.9742218419	0.315447971
899	0.9744357685	0.3150572013
900	0.9742218419	0.3145037388
901	0.9742218419	0.3144265838
902	0.9740079153	0.314250638
903	0.9744357685	0.3138528334
904	0.9748636218	0.3137867178
905	0.9744357685	0.3135243788
906	0.9748636218	0.3132457015
907	0.9746496952	0.3130355103
908	0.9750775484	0.3126352961
909	0.9746496952	0.3122729621
910	0.9750775484	0.3118594683
911	0.9757193283	0.311547681
912	0.975291475	0.3111812487
913	0.9755054016	0.3108671168
914	0.9757193283	0.310702565
915	0.975291475	0.3104162164
916	0.975291475	0.3101353919
917	0.975291475	0.310071103
918	0.9755054016	0.3096080662
919	0.9757193283	0.3093145182
920	0.9759332549	0.3089900488
921	0.9757193283	0.3086072816
922	0.9755054016	0.3084471216
923	0.9761471815	0.3080591542
924	0.9763611081	0.3076761173
925	0.9759332549	0.3070434748
926	0.9759332549	0.3067066579
927	0.9767889614	0.3064150124
928	0.9763611081	0.3060281087
929	0.9761471815	0.3057610502
930	0.9764680715	0.3055197873
931	0.9760402182	0.3051635174
932	0.9764680715	0.3049068913
933	0.9762541448	0.3048547741
934	0.9762541448	0.3047213959
935	0.9762541448	0.304596665
936	0.9768959247	0.3044264018
937	0.9766819981	0.304154842
938	0.9768959247	0.3038802055
939	0.9771098513	0.3037822937
940	0.9766819981	0.3036533439
941	0.9771098513	0.3032466634
942	0.9780725211	0.3029840261
943	0.9776446679	0.3029158372
944	0.9776446679	0.302688346
945	0.9778585945	0.3025461701
946	0.9780725211	0.3024520131
947	0.9782864477	0.3022666225
948	0.9782864477	0.3021390198
949	0.9782864477	0.3016483713
950	0.9785003744	0.301315683
951	0.9785003744	0.3009936386
952	0.9782864477	0.3006782813
953	0.9782864477	0.3005513684
954	0.9780725211	0.3003210232
955	0.9785003744	0.2998169929
956	0.9785003744	0.2995608275
957	0.978714301	0.2993669391
958	0.9785003744	0.298884738
959	0.978714301	0.2986172033
960	0.9785003744	0.2982172415
961	0.9785003744	0.2980171599
962	0.978714301	0.297820953
963	0.9791421542	0.2976656782
964	0.9793560809	0.2973539185
965	0.9791421542	0.2971002187
966	0.9791421542	0.2968340121
967	0.9791421542	0.2966186865
968	0.9791421542	0.2963686034
969	0.9791421542	0.2962585931
970	0.9793560809	0.2959890662
971	0.9799978607	0.2956266745
972	0.9799978607	0.2953474265
973	0.9802117874	0.2951156553
974	0.9802117874	0.294837712
975	0.980425714	0.2945597459
976	0.980425714	0.2943753388
977	0.9799978607	0.2938192083
978	0.9797839341	0.2936486746
979	0.9797839341	0.2933883236
980	0.9797839341	0.2930779684
981	0.9799978607	0.2927056222
982	0.9797839341	0.2925662657
983	0.9797839341	0.2924146844
984	0.9799978607	0.292047938
985	0.9802117874	0.2918710751
986	0.9808535672	0.291602291
987	0.9812814205	0.2911336658
988	0.981816237	0.2908927334
989	0.9816023104	0.2906127468
990	0.981816237	0.290394393
991	0.9814953471	0.2900328312
992	0.9814953471	0.2897779564
993	0.9819232003	0.28945124
994	0.982137127	0.288935206
995	0.9825649802	0.2888058669
996	0.9827789068	0.2884163262
997	0.9827789068	0.2879436033
998	0.9825649802	0.2875407722
999	0.9829928335	0.2874334985
