iter	Accuracy	MultiClass
190	0.7804043213	0.6985927412
191	0.7806182479	0.6980947529
192	0.778585945	0.6968913844
193	0.7796555781	0.6964491024
194	0.7786929083	0.6954845414
195	0.7792277249	0.6945638848
196	0.7807252113	0.6934382949
197	0.7822226976	0.6924730142
198	0.7850037437	0.6913697
199	0.7865012301	0.6902421175
200	0.7872499733	0.689127328
201	0.7872499733	0.6884599318
202	0.7877847898	0.6871777144
203	0.7874638999	0.6867857797
204	0.7867151567	0.6863580547
205	0.7878917531	0.6857469588
206	0.7892822762	0.685011763
207	0.790244946	0.683685442
208	0.790244946	0.6825239054
209	0.7900310194	0.6818954623
210	0.7925981388	0.6805391386
211	0.7921702856	0.6800867751
212	0.7927051021	0.6794959945
213	0.7928120655	0.678981777
214	0.793346882	0.6778141526
215	0.7931329554	0.6770578788
216	0.7952722216	0.6757138352
217	0.7959140015	0.6746620517
218	0.7973045245	0.6737341302
219	0.7991229008	0.6726704855
220	0.7994437908	0.6718509877
221	0.8000855706	0.6712843218
222	0.7999786073	0.6699322548
223	0.801583057	0.6685569572
224	0.8035083966	0.6671522099
225	0.8036153599	0.6658248741
226	0.8028666168	0.6654402073
227	0.8021178736	0.6644308348
228	0.8023318002	0.6637155704
229	0.80329447	0.6630836482
230	0.8054337362	0.6623246252
231	0.8056476629	0.6617879459
232	0.8073590758	0.6607657528
233	0.8072521125	0.6598496866
234	0.806396406	0.6594699862
235	0.806717296	0.6584649823
236	0.8062894427	0.6575238021
237	0.806396406	0.6567821178
238	0.8071451492	0.655608984
239	0.8073590758	0.6544374243
240	0.808428709	0.6537316707
241	0.8100331586	0.6520749344
242	0.8096053054	0.6512155823
243	0.8112097551	0.6501353464
244	0.8120654615	0.6488290924
245	0.8120654615	0.6480675601
246	0.8131350947	0.6475394436
247	0.8131350947	0.6471463666
248	0.8124933148	0.6460030044
249	0.8124933148	0.6450826951
250	0.8140977645	0.6435558145
251	0.8139908012	0.6429658083
252	0.8155952508	0.6420737652
253	0.8167718473	0.6413428731
254	0.8170927372	0.6410078542
255	0.8165579206	0.6404214614
256	0.8168788106	0.6394477677
257	0.8162370307	0.6388721443
258	0.8190180768	0.637380479
259	0.8184832602	0.636834059
260	0.8182693336	0.6357615247
261	0.8198737833	0.6348676758
262	0.8201946732	0.6342817464
263	0.8201946732	0.6332835858
264	0.821478233	0.6323566823
265	0.8220130495	0.630907704
266	0.8203016365	0.6295988904
267	0.8205155632	0.6291972778
268	0.8207294898	0.6281679889
269	0.8243662424	0.6268038005
270	0.8252219489	0.6261076094
271	0.8251149856	0.6251952976
272	0.8257567654	0.6239556546
273	0.8267194352	0.6232221227
274	0.826291582	0.6221659493
275	0.8256498021	0.6217426285
276	0.8254358755	0.6207180865
277	0.8270403252	0.6200495822
278	0.8261846187	0.6196391596
279	0.8273612151	0.6178741466
280	0.8265055086	0.6169302882
281	0.8270403252	0.6161350532
282	0.8269333619	0.6154245377
283	0.827682105	0.6145962389
284	0.828002995	0.6138784888
285	0.8283238849	0.6136054531
286	0.8301422612	0.6126496084
287	0.829714408	0.6117778974
288	0.8318536742	0.6110729892
289	0.8307840411	0.6102333822
290	0.8333511606	0.6088299488
291	0.8334581239	0.608413836
292	0.8353834635	0.6075398147
293	0.8349556102	0.6067535686
294	0.8364530966	0.6055225248
295	0.8377366563	0.6048829121
296	0.8389132528	0.6041566031
297	0.8378436196	0.6033708912
298	0.8404107391	0.6024451211
299	0.8404107391	0.6019402952
300	0.8405177024	0.6013802654
301	0.8420151888	0.6000674745
302	0.8431917852	0.599665944
303	0.8439405284	0.5989935334
304	0.8445823083	0.5982271076
305	0.8446892716	0.5978807672
306	0.8453310514	0.5971680123
307	0.8436196385	0.5966964635
308	0.8450101615	0.5954302713
309	0.8462937213	0.5942108835
310	0.8467215745	0.5934676512
311	0.8474703177	0.5925467279
312	0.848967804	0.5912717938
313	0.8487538774	0.5906446817
314	0.8487538774	0.5899235554
315	0.8501444005	0.5883769233
316	0.850679217	0.5872949096
317	0.8505722537	0.5865925775
318	0.8502513638	0.5859136237
319	0.8497165472	0.5855473357
320	0.8512140336	0.5851700692
321	0.8508931437	0.5847323333
322	0.8517488501	0.5842339018
323	0.8516418868	0.5836965195
324	0.8522836667	0.5827826942
325	0.8514279602	0.5816612094
326	0.8524975933	0.5812114211
327	0.85239063	0.5810003278
328	0.8530324099	0.5799429908
329	0.8534602631	0.5794809716
330	0.8550647128	0.5784205479
331	0.854102043	0.5779307166
332	0.8553856027	0.577420047
333	0.8562413092	0.5765835158
334	0.8564552359	0.5761566541
335	0.8550647128	0.5758285726
336	0.8548507862	0.5746837366
337	0.8574179057	0.5734607841
338	0.8584875388	0.5726070752
339	0.8584875388	0.572192853
340	0.8570970157	0.5715828162
341	0.8588084287	0.5707042329
342	0.8581666488	0.5702098375
343	0.8588084287	0.5692012079
344	0.8609476949	0.5680468842
345	0.8628730345	0.5675291654
346	0.8634078511	0.5665895801
347	0.8633008878	0.5657861002
348	0.8643705209	0.5651072389
349	0.8639426677	0.5644923161
