iter	Passed	Remaining
446	1287	1593
447	1296	1597
448	1304	1600
449	1308	1599
450	1312	1598
451	1316	1596
452	1320	1594
453	1324	1592
454	1327	1590
455	1330	1587
456	1332	1583
457	1335	1580
458	1338	1577
459	1340	1573
460	1343	1571
461	1346	1567
462	1349	1564
463	1351	1561
464	1353	1557
465	1356	1554
466	1358	1550
467	1361	1547
468	1364	1544
469	1367	1541
470	1369	1538
471	1372	1535
472	1374	1531
473	1377	1528
474	1379	1525
475	1382	1521
476	1385	1519
477	1388	1516
478	1391	1513
479	1393	1510
480	1396	1506
481	1398	1502
482	1400	1499
483	1403	1496
484	1405	1492
485	1408	1489
486	1410	1486
487	1413	1482
488	1415	1479
489	1417	1475
490	1419	1471
491	1421	1468
492	1424	1464
493	1426	1461
494	1429	1458
495	1432	1455
496	1434	1452
497	1436	1448
498	1439	1444
499	1441	1441
500	1444	1438
501	1446	1435
502	1449	1431
503	1451	1428
504	1453	1424
505	1455	1421
506	1457	1417
507	1459	1413
508	1462	1410
509	1464	1407
510	1466	1403
511	1469	1400
512	1471	1397
513	1473	1393
514	1475	1389
515	1478	1386
516	1480	1383
517	1482	1379
518	1484	1375
519	1486	1372
520	1488	1368
521	1490	1365
522	1493	1361
523	1495	1358
524	1497	1354
525	1500	1351
526	1502	1348
527	1504	1345
528	1506	1341
529	1509	1338
530	1512	1335
531	1514	1332
532	1517	1329
533	1519	1326
534	1522	1323
535	1525	1320
536	1527	1316
537	1530	1314
538	1533	1311
539	1536	1308
540	1539	1305
541	1541	1302
542	1544	1300
543	1547	1297
544	1550	1294
545	1553	1291
546	1556	1288
547	1558	1285
548	1561	1283
549	1564	1280
550	1567	1277
551	1569	1273
552	1572	1271
553	1574	1267
554	1577	1264
555	1580	1261
556	1583	1259
557	1585	1255
558	1588	1253
559	1590	1249
560	1593	1246
561	1596	1244
562	1599	1241
563	1602	1239
564	1605	1235
565	1608	1233
566	1610	1230
567	1613	1227
568	1616	1224
569	1618	1221
570	1621	1218
571	1624	1215
572	1626	1212
573	1629	1209
574	1631	1205
575	1633	1202
576	1635	1199
577	1638	1195
578	1639	1192
579	1642	1189
580	1644	1186
581	1647	1182
582	1649	1179
583	1651	1176
584	1654	1173
585	1656	1170
586	1659	1167
587	1661	1164
588	1664	1161
589	1667	1158
590	1669	1155
591	1672	1152
592	1674	1149
593	1676	1146
594	1679	1143
595	1682	1140
596	1685	1137
597	1687	1134
598	1690	1131
599	1693	1129
600	1696	1126
601	1699	1123
602	1702	1120
603	1704	1117
604	1707	1114
605	1709	1111
606	1712	1108
607	1715	1106
608	1718	1103
609	1721	1100
610	1723	1097
611	1726	1094
612	1728	1091
613	1731	1088
614	1734	1085
615	1737	1083
616	1741	1080
617	1743	1077
618	1746	1074
619	1749	1072
620	1751	1069
621	1754	1066
622	1756	1063
623	1759	1060
624	1762	1057
625	1764	1054
626	1766	1051
627	1769	1047
628	1771	1044
629	1773	1041
630	1776	1038
631	1778	1035
632	1780	1032
633	1783	1029
634	1785	1026
635	1787	1023
636	1789	1019
637	1791	1016
638	1793	1013
639	1796	1010
640	1799	1007
641	1801	1004
642	1804	1001
643	1805	998
644	1808	995
645	1811	992
646	1813	989
647	1816	986
648	1819	983
649	1822	981
650	1825	978
651	1828	975
652	1831	973
653	1835	971
654	1837	968
655	1841	965
656	1843	962
657	1846	959
658	1850	957
659	1852	954
660	1856	951
661	1859	949
662	1862	946
663	1865	944
664	1869	941
665	1873	939
666	1876	936
667	1879	934
668	1882	931
669	1885	928
670	1888	925
671	1891	923
672	1894	920
673	1897	917
674	1900	915
675	1903	912
676	1906	909
677	1910	907
678	1913	904
679	1916	902
680	1919	899
681	1922	896
682	1925	893
683	1927	890
684	1930	887
685	1932	884
686	1935	881
687	1937	878
688	1939	875
689	1942	872
690	1944	869
691	1947	866
692	1949	863
693	1952	860
694	1954	857
