feature
HomeTeam
AwayTeam
HomeTeam_avg_goal_diff
HomeTeam_points
AwayTeam_avg_goal_diff
AwayTeam_points
B365H
B365D
B365A
BWH
BWD
BWA
IWH
IWD
IWA
WHH
WHD
WHA
VCH
VCD
VCA
MaxH
MaxD
MaxA
PSH
PSD
PSA
PSCH
PSCD
PSCA
home_elo
away_elo
B365_overround
BW_overround
IW_overround
WH_overround
VC_overround
Max_overround
PS_overround
PSC_overround
pH_mean
pD_mean
pA_mean
overround_mean
overround_std
home_adv
draw_tightness
elo_diff
